SectionOrder,ExternalId,Drug,Type,TypeSub,Value,SectionSubOrder
2,DNX0344,Multivitamins with Minerals,NDC,NDC,52796017790,945
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53100000290,946
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53100000295,947
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53100011211,948
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53100011232,949
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53100011266,950
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53100011276,951
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53154001505,952
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53154001803,953
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53156010101,954
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53156020101,955
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53191001401,956
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53191005701,957
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53191019110,958
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53191048490,959
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53335003823,960
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53335070821,961
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53409029256,962
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53723502203,963
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53723520401,964
2,DNX0344,Multivitamins with Minerals,NDC,NDC,53849005031,965
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54022106301,966
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54022106302,967
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54022133301,968
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54022520001,969
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54022530101,970
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54391301009,971
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569127700,972
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569218100,973
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569273900,974
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569286900,975
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569380000,976
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569497600,977
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569498500,978
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569607300,979
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54569904500,980
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629003610,981
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629003611,982
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629007501,983
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629008201,984
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629009203,985
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629011130,986
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629012556,987
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629059706,988
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629066220,989
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629066450,990
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629070060,991
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629071126,992
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629071134,993
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629071152,994
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629075506,995
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629077660,996
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629078901,997
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629111301,998
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54629619301,999
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54799048103,1000
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868167300,1001
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868177301,1002
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868181501,1003
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868315800,1004
2,DNX0344,Multivitamins with Minerals,NDC,NDC,54868322300,1005
